Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"MoreHealth Blackrock","2A Main Street, Blackrock, Co. Dublin, Ireland",Blackrock,Dublin,,IE,"(01) 210 3967",,"health, establishment","Monday: 8:00 am – 5:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 5:00 pm
Friday: 8:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.morehealth.ie/,53.302041,-6.178274,"Google Places",ChIJYfBv2cYIZ0gRjfn6uJHPuFk,
"MoreHealth Practices","2A Main Street, Blackrock, Co. Dublin, Ireland",Blackrock,Dublin,,IE,"(01) 210 3967",,"health, establishment","Monday: Closed
Tuesday: 8:00 am – 5:00 pm
Wednesday: 10:30 am – 5:00 pm
Thursday: 8:00 am – 5:00 pm
Friday: 8:00 am – 4:30 pm
Saturday: Closed
Sunday: Closed",http://www.morehealth.ie/,53.30204,-6.178275,"Google Places",ChIJsb_628YIZ0gR6ks4YInvVw4,
"Priory Clinic Dublin","4 Shelton Drive, Kimmage, Dublin, Ireland",Dublin,Dublin,,IE,"1800 254 642",,"physiotherapist, health, establishment","Monday: 7:00 am – 9:00 pm
Tuesday: 7:00 am – 9:00 pm
Wednesday: 7:00 am – 9:00 pm
Thursday: 7:00 am – 9:00 pm
Friday: 7:00 am – 9:00 pm
Saturday: 7:00 am – 5:00 pm
Sunday: Closed",http://www.prioryclinic.com/,53.312922,-6.309772,"Google Places",ChIJQbJZ1HgMZ0gRylVo6nTw1wk,"dublin_masseur.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv"
Osteopathdublin.ie,"2, Mornington Park, Malahide Rd, Dublin, Ireland",Dublin,Dublin,,IE,"086 156 0605",,"physiotherapist, health, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 7:00 pm
Thursday: 8:00 am – 7:00 pm
Friday: 8:00 am – 7:00 pm
Saturday: 8:00 am – 12:00 pm
Sunday: Closed",http://www.osteopathdublin.ie/,53.382301,-6.207651,"Google Places",ChIJ6QxnbMgPZ0gR5TeX9m9ssXc,"dublin_chiropractor.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"PhysioCare Blackrock","87A Booterstown Avenue, Blackrock, Co. Dublin, Ireland",,Dublin,,IE,"(01) 531 0004",,"physiotherapist, health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 8:00 pm
Saturday: 10:00 am – 3:00 pm
Sunday: Closed",http://www.physio.ie/,53.3043,-6.198936,"Google Places",ChIJS_PZyNkIZ0gRAuGTaLDaqJw,"dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv"
"Mulberry Court Natural Health Practitioners","30 Morehampton Road, Donnybrook, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 233 4102",,"health, establishment","Monday: 9:00 am – 6:00 pm
Tuesday: 9:00 am – 6:00 pm
Wednesday: 9:00 am – 6:00 pm
Thursday: 9:00 am – 6:00 pm
Friday: 9:00 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.mulberrycourt.ie/,53.337087,-6.24347,"Google Places",ChIJM1VCwJUOZ0gRQsmt-jc9UeA,dublin_masseur.csv
"Osteopath Dublin - Castlewood Clinic","19 Castlewood Terrace, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 496 5999",,"health, establishment","Monday: 10:00 am – 6:00 pm
Tuesday: Closed
Wednesday: 10:00 am – 6:00 pm
Thursday: 10:00 am – 7:00 pm
Friday: Closed
Saturday: Closed
Sunday: Closed",http://www.castlewoodclinic.ie/,53.32358,-6.262604,"Google Places",ChIJrU6lB6gOZ0gRzVtdrZeImk8,"dublin_acupuncturist.csv
dublin_chiropractor.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"Ranelagh Osteopathic Clinic","1, Mountain View Mews, Mountain View Avenue, Harold's Cross, Ranelagh, Co. Dublin, Ireland",Ranelagh,Dublin,,IE,"(01) 497 8613",,"health, establishment",,http://www.osteo.ie/,53.321779,-6.280342,"Google Places",ChIJyZLjWq4OZ0gRrb8xID0s-oQ,
"Bodymechanics Osteopathic Practices (Northside)","Seabury Medical Centre, 1 Seabury Parade, Malahide, Co. Dublin, Ireland",Fingal,Dublin,,IE,"087 230 9808",,"health, establishment",,http://www.bodymechanics.ie/,53.455397,-6.179451,"Google Places",ChIJHV8GYngaZ0gRKHUuOmzebWU,
"Dublin Bay Osteopathy","163 Clontarf Rd, Dublin, Ireland",Dublin,Dublin,,IE,"083 145 2425",,establishment,,https://plus.google.com/115321827546286828787/about?hl=en,53.359782,-6.200136,"Google Places",ChIJ613J9qcPZ0gR6j-pDu4ag6Y,
"PhysioCare Head Office","47 Rushbrook, Blanchardstown Village, Co. Dublin, Ireland","Blanchardstown Village",Dublin,,IE,"(01) 531 0018",,"physiotherapist, health, establishment","Monday: 9:00 am – 4:00 pm
Tuesday: 9:00 am – 4:00 pm
Wednesday: 9:00 am – 4:00 pm
Thursday: 9:00 am – 4:00 pm
Friday: 9:00 am – 4:00 pm
Saturday: Closed
Sunday: Closed",http://www.physio.ie/,53.385948,-6.380666,"Google Places",ChIJ80qnU1ENZ0gRS9FRGgqpvTE,"dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"Centaurus Equestrian Rehabilitiation","Celbridge, Co. Kildare, Ireland",Celbridge,Kildare,,IE,"087 146 7679",,"health, establishment",,http://www.centaurusosteo.com/,53.267003,-6.053944,"Google Places",ChIJLUJC3gZxZ0gRT0vtJ-GwPhs,dublin_chiropractor.csv
"Chris Kelly Osteopath","Artane Medical Centre, 2 Mornington Park, Malahide Road, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 430 4198",,"health, establishment",,http://www.osteopathdublin.ie/,53.382641,-6.20641,"Google Places",ChIJaRiN2McPZ0gR8-yqMvnXgRY,
"Osteopath in Ireland","No 5 The Mall,,, Main Street, Leixlip, Co. Kildare, Ireland",,Kildare,,IE,"086 331 8840",,"doctor, health, establishment",,https://plus.google.com/114369857500282889800/about?hl=en,53.363806,-6.49013,"Google Places",ChIJr8nTOiJyZ0gRregMDKcGZKY,
"Dublin Osteopath - Karen Crookes - irish Osteopathy","28 William Street South, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 309 1915",,"health, establishment","Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: 8:00 am – 9:00 pm
Friday: Closed
Saturday: Closed
Sunday: Closed",https://plus.google.com/106539743183186170061/about?hl=en,53.341537,-6.263068,"Google Places",ChIJy0-5SJwOZ0gRJpidIzOXprA,
"Ben O Hara Osteopath","Osteopathy Room 3, Stillorgan, Co. Dublin, Ireland",Stillorgan,Dublin,,IE,"086 204 5522",,establishment,,https://plus.google.com/112148743455503056274/about?hl=en,53.289089,-6.20778,"Google Places",ChIJC9k-XBkJZ0gRRwIGvasRtzI,
"David Blair Osteopath","90 Dodder Park Rd, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 490 8019",,establishment,,https://plus.google.com/104378202427594088442/about?hl=en,53.303701,-6.273774,"Google Places",ChIJcS7DZPALZ0gR28xs-gd1_2A,
"Blanche de Montalivet, Osteopath","7 Rockville Road, Blackrock, Co. Dublin, Ireland",,Dublin,,IE,"086 022 8902",,"health, establishment","Monday: Closed
Tuesday: 9:00 am – 9:00 pm
Wednesday: Closed
Thursday: Closed
Friday: 8:00 am – 7:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: Closed",http://www.dublin-osteo.com/,53.290561,-6.172057,"Google Places",ChIJgcf9VesIZ0gRhRJqJ1P0lBY,
"Paul Keeting Osteopath","3 Cherryfield Rd, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 456 9273",,establishment,,https://plus.google.com/109823876389037172614/about?hl=en,53.316787,-6.331346,"Google Places",ChIJv-9L0IQMZ0gRve719UoqX98,
"Marion O'Connor Osteopath","Greystones Osteopathy Clinic, Kimberley Road, Greystones, Co. Wicklow, Ireland",Greystones,Wicklow,,IE,"(01) 255 7079",,establishment,,https://plus.google.com/116054682164289895027/about?hl=en,53.146633,-6.061791,"Google Places",ChIJe4onjiuvZ0gRpb9VB3ArlHo,
"Dublin Osteopath Myles Cottrell","89 Waterloo Road, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 668 7444",,"physiotherapist, health, establishment",,http://www.dublinosteopath.ie/,53.328957,-6.245257,"Google Places",ChIJFTCylLsOZ0gRRBdycjxZtKE,"dublin_chiropractor.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"Northside Osteopathy, Noel Sugrue","2 Malahide Road, Artane Dublin 5, Ireland","Artane Dublin 5",,,IE,"(01) 430 4198",,"physiotherapist, health, establishment",,http://www.northsideosteopathy.ie/,53.382316,-6.207571,"Google Places",ChIJX-j2bMgPZ0gRbe41IpGC7-M,dublin_physical_therapist.csv
"Osteopathy Now","18 Priory Hall, Stillorgan, Co. Dublin, Ireland",Stillorgan,Dublin,,IE,"086 248 1959",,establishment,,http://www.osteopathynow.com/,53.294515,-6.200623,"Google Places",ChIJE_8QACAJZ0gRzFk4qyIA1Ds,
"Northside Osteopathy","Artane Medical Centre, 2 Mornington Park, Malahide Rd, Artane, Dublin 5, Ireland","Dublin 5","Co. Dublin",,IE,"086 055 8530",,"health, establishment",,http://www.northsideosteopathy.ie/,53.382262,-6.207575,"Google Places",ChIJ-8X5bMgPZ0gRA6_6d5v-zsw,
"Dublin Osteopathy","32 Nassau Street, Dublin, Ireland","Dublin City",Dublin,,IE,"(01) 679 8589",,"health, establishment","Monday: 9:00 am – 6:00 pm
Tuesday: 12:00 – 9:00 pm
Wednesday: 9:00 am – 6:00 pm
Thursday: 12:00 – 9:00 pm
Friday: 9:00 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.dublinosteopathy.com/,53.342766,-6.25748,"Google Places",ChIJQ7tKqpsOZ0gRlSoeDYITx_s,
"Dun Laoghaire Osteopaths","1, Rus-In-Urbe Terrace, Glenageary Road Lower, Glenageary, Dun Laoghaire, Co. Dublin, Ireland","Dun Laoghaire",Dublin,,IE,"(01) 280 3890",,"health, establishment",,http://www.dunlaoghaireosteopaths.com/,53.286055,-6.132036,"Google Places",ChIJBcggni8GZ0gRXBl6veHKkO8,
"National Training Centre","15-16 St Joseph's Parade, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"(01) 882 7777",,establishment,"Monday: 9:30 am – 5:30 pm
Tuesday: 9:30 am – 5:30 pm
Wednesday: 9:30 am – 5:30 pm
Thursday: 9:30 am – 5:30 pm
Friday: 9:30 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.ntc.ie/,53.357316,-6.265947,"Google Places",ChIJPdNxR34OZ0gRejGk5eHtu8s,"dublin_dietician.csv
dublin_nutritionist.csv
dublin_personal_trainer.csv
dublin_physical_therapist.csv
dublin_pilates.csv"
"Anne Butler - Reflexologist","63 Beechwood Avenue Lower, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 412 6215",,"health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: Closed",http://www.complementary-therapists.com/irish-therapists/dublin/anne-butler.htm,53.323383,-6.254416,"Google Places",ChIJI3laaK8OZ0gRg-HsouRNdBw,"dublin_allergy.csv
dublin_physical_therapist.csv
dublin_pilates.csv
dublin_reflexologist.csv"
"Marian Sopoliga & Lenka Sopoligova - Reiki Therapists","Castleforbes Square, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"(01) 442 2702",,"health, establishment","Monday: 9:00 am – 8:00 pm
Tuesday: 9:00 am – 8:00 pm
Wednesday: 9:00 am – 8:00 pm
Thursday: 9:00 am – 8:00 pm
Friday: 9:00 am – 8:00 pm
Saturday: 9:00 am – 8:00 pm
Sunday: 9:00 am – 2:00 pm",http://www.complementary-therapists.com/irish-therapists/dublin/marian-lenka.htm,53.349629,-6.232219,"Google Places",ChIJCWR6dvEOZ0gRi4--U5REvMQ,"dublin_allergy.csv
dublin_masseur.csv
dublin_meditation.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv
dublin_reflexologist.csv"
"Tony Lawless","16 Brookwood Rise, Dublin 5, Ireland","Dublin 5",Dublin,,IE,"087 223 0052",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 9:00 pm
Sunday: Closed",http://www.complementary-therapists.com/irish-therapists/dublin/tony-lawless.htm,53.377791,-6.195111,"Google Places",ChIJzwhw9r4PZ0gRpBdra39XWUw,"dublin_allergy.csv
dublin_masseur.csv
dublin_physical_therapist.csv
dublin_pilates.csv
dublin_reflexologist.csv"
"Holistic Therapist - Jennifer Dunne","22 Jugback Lane, Swords, Co. Dublin, Ireland",Swords,Dublin,,IE,"086 156 2701",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 6:00 pm
Sunday: Closed",http://www.complementary-therapists.com/irish-therapists/dublin/jennifer-dunne.htm,53.465927,-6.226136,"Google Places",ChIJS2ZX4-cQZ0gRiE2OpQRHN-A,"dublin_allergy.csv
dublin_masseur.csv
dublin_physical_therapist.csv
dublin_reflexologist.csv"
"Linda Keogh - Spiritual Healer & Reiki Master","2, The Strand, Dublin 13, Ireland","Dublin 13",Dublin,,IE,"086 880 0602",,establishment,"Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 9:00 pm
Sunday: Closed",http://www.complementary-therapists.com/irish-therapists/dublin/linda-keogh.htm,53.425562,-6.13676,"Google Places",ChIJh9gdScIaZ0gRBHYeB6BTd50,"dublin_allergy.csv
dublin_physical_therapist.csv
dublin_reflexologist.csv"
"The Morning Star Clinic - Acupuncture Dublin","122 Cromwell's Fort Road, Dublin 12, Ireland","Dublin 12",Dublin,,IE,"087 762 4336",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 1:00 pm
Sunday: Closed",http://www.themorningstarclinic.com/,53.316417,-6.32151,"Google Places",ChIJDwncz4oMZ0gR8NbUQWACy8o,
"The Morning Star Clinic - Acupuncture Meath","Dublin Road, Ashbourne, Co. Meath, Ireland",Meath,Meath,,IE,"087 762 4336",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 8:00 am – 12:00 pm
Sunday: Closed",http://www.themorningstarclinic.com/,53.500266,-6.388596,"Google Places",ChIJdw9XWJUUZ0gRnN3KDps_438,
"Ranelagh Osteopaths","49 Ranelagh Road, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 491 3228",,"health, establishment","Monday: Closed
Tuesday: 4:00 – 8:00 pm
Wednesday: Closed
Thursday: 4:00 – 8:00 pm
Friday: Closed
Saturday: 8:00 am – 4:00 pm
Sunday: Closed",http://www.archviewclinic.ie/,53.327057,-6.257214,"Google Places",ChIJ0cgjgqYOZ0gRPjcBP6Mfk4k,
"Merrion Square Osteopaths","1 Merrion Square N, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 661 6143",,establishment,,https://plus.google.com/117767235034988540627/about?hl=en,53.341188,-6.250424,"Google Places",ChIJ8RmL0JAOZ0gRimeX5ebBgok,
"Llorrac Marketing & Design Ltd","27 Forest Park Kingswood Dublin 24, Ireland",,,,IE,"(01) 403 1928",,establishment,,http://www.irishweddingsonline.com/,53.307209,-6.363022,"Google Places",ChIJr-GwIVYLZ0gRzlErotfpShQ,"dublin_aromatherapist.csv
dublin_chiropractor.csv
dublin_dietician.csv
dublin_herbalist.csv
dublin_meditation.csv
dublin_reflexologist.csv"
"Melanie Hoskin","570 Howth Rd, Raheny, Co. Dublin, Ireland",Raheny,Dublin,,IE,"086 241 9685",,establishment,,http://www.clinicofnaturalmedicine.ie/,53.380371,-6.17217,"Google Places",ChIJ7-WBjowPZ0gRVVTClJy09wc,"dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv
dublin_yoga.csv"
